TOKEN, MAPPEDURL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2172hr,https://images.is.ed.ac.uk/luna/servlet/detail/UoEecl~1~1~1893~100182:Dorothy-Johnston-and-Friends-Smokin?trs=5&mi=1&qvq=q%3Asmoking%3Blc%3AUoEecl%7E1%7E1%2CUoEecp%7E1%7E1
pk706k,"https://images.is.ed.ac.uk/luna/servlet/workspace?sip0=,UoEwmm~1~1~11509~100205,34,315,598,175,995,560,299,91,480,365,4&sip1=,UoEwmm~1~1~11491~100203,13,59,480,227,995,560,468,758,710,1214,3&sip2=,UoEwmm~1~1~11482~100202,798,310,193,175,995,560,103,94,1295,971,2&sip3=,UoEwmm~1~1~98~100009,500,55,477,216,995,560,243,609,914,1474,1&xwr=16&ywr=9"
i1ev5d,https://images.is.ed.ac.uk/luna/servlet/widget/detail/UoEcws~3~3~26096~102735:Bemersyde-House?widgetType=detail&embedded=true&cic=UoEcws%7E3%7E3
lwj32d,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcws~3~3~26096~102735:Bemersyde-House?cic=UoEcws%7E3%7E3
7hj1f5,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEcws~3~3~25624~102701:Sir-Walter-Scott,-Ob--1832?cic=UoEcws%7E3%7E3"
7b91e1,https://images.is.ed.ac.uk/luna/servlet/detail/UoEhal~1~1~86398~121135:Merz-Konstruktion?cic=UoEhal%7E1%7E1
5yv67c,https://images.is.ed.ac.uk/luna/servlet/view/all/what/French/?sort=Work_Creator_Name%2CWork_Title%2CWork_Display_Date%2CWork_Repository&pgs=50&res=1&cic=UoEhal%7E1%7E1
0u6l3k,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~1~1~8585~101096:The-Statistical-Account-of-Scotland?cic=UoEgal%7E1%7E1
85cve9,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcha~1~1~248094~102890:Concerning-of-Greenock-harbor-befor?trs=3578&sort=Work_Creator_Name%2CWork_Title%2CWork_Display_Date%2CWork_Subject_Place&mi=3518&qvq=sort%3AWork_Creator_Name%2CWork_Title%2CWork_Display_Date%2CWork_Subject_Place%3Blc%3AUoEcha%7E1%7E1&cic=UoEcha%7E1%7E1
t2yz1a,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~1~1~1926~101557:Scottish-Metrical-Psalter?trs=4&sort=Work_ID_Number%2CWork_Title%2CWork_Creator_Name%2CWork_Shelfmark&mi=3&qvq=q%3A0011781%3Bsort%3AWork_ID_Number%2CWork_Title%2CWork_Creator_Name%2CWork_Shelfmark%3Blc%3AUoEgal%7E1%7E1&cic=UoEgal%7E1%7E1
y121c5,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEwal~1~1~6699~100429:Der-Abt-L-Abb%C3%A9--Lord-Douglas,-Kath-?trs=1072&sort=Work_Source%2CWork_Creator_Name%2CWork_Title%2CWork_Display_Date&mi=36&qvq=sort%3AWork_Source%2CWork_Creator_Name%2CWork_Title%2CWork_Display_Date%3Blc%3AUoEwal%7E1%7E1&cic=UoEwal%7E1%7E1"
468y97,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~1~1~1926~101363:Scottish-Metrical-Psalter?trs=183&sort=Work_ID_Number%2CWork_Title%2CWork_Creator_Name%2CWork_Shelfmark&mi=179&qvq=q%3APsalter%3Bsort%3AWork_ID_Number%2CWork_Title%2CWork_Creator_Name%2CWork_Shelfmark%3Blc%3AUoEgal%7E1%7E1&cic=UoEgal%7E1%7E1
7ewp18,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~1~1~1926~101558:Scottish-Metrical-Psalter?trs=183&sort=Work_ID_Number%2CWork_Title%2CWork_Creator_Name%2CWork_Shelfmark&mi=179&qvq=q%3APsalter%3Bsort%3AWork_ID_Number%2CWork_Title%2CWork_Creator_Name%2CWork_Shelfmark%3Blc%3AUoEgal%7E1%7E1&cic=UoEgal%7E1%7E1
q79thz,https://images.is.ed.ac.uk/luna/servlet/detail/UoEhil~1~1~5148~100357:Calotypes-and-Portraits?trs=482&sort=Work_Shelfmark%2CWork_Creator_Name%2CWork_Subset_Index%2CWork_ID_Number&mi=12&qvq=sort%3AWork_Shelfmark%2CWork_Creator_Name%2CWork_Subset_Index%2CWork_ID_Number%3Blc%3AUoEhil%7E1%7E1&cic=UoEhil%7E1%7E1
g8l980,https://images.is.ed.ac.uk/luna/servlet/allCollections
7083j8,"https://images.is.ed.ac.uk/luna/servlet/widget/detail/UoEhil~1~1~3807~100243:Calotypes-and-Portraits,-vol-VI?widgetType=detail&embedded=true&cic=UoEhil%7E1%7E1"
