object_type,luna,arch,file,cantaloupe
Image,UoEcar~1~1~29495~100534,201aacfd-fbf3-45c8-8b85-712d612aa4d5,0009069c.tif,369%2Fimage-0009069c-ec60403e-c87c-4da9-8542-56ef0849b9d7.tif
Image,UoEcar~1~1~29508~100535,a7d61b6c-a455-4ead-9b56-5363d46ffb7a,0009070c.tif,594%2Fimage-0009070c-19fc6fc3-4041-44a4-856b-396cf4cfab9c.tif
Image,UoEcar~1~1~29521~100536,0fd92c2e-bb3b-426d-8193-955a01ce60ef,0009071c.tif,b72%2Fimage-0009071c-d04e018a-c9a0-40b2-9241-ffaa474cb89a.tif
Image,UoEcar~1~1~29534~100537,940c7d0b-bdbf-4ac4-bdb5-5d34a12847e0,0009072c.tif,b10%2Fimage-0009072c-4d8c1f8d-d4c4-47a6-b45c-67d4b9db0e11.tif
Image,UoEcar~1~1~29547~100538,ae6c5a74-125f-470f-96ea-f8e59279a003,0009073c.tif,7f1%2Fimage-0009073c-e8d59204-d7c8-4acf-8732-f9493b857ac1.tif
Image,UoEcar~1~1~29560~100539,b8ce1824-897a-4e26-8949-cc5d6518e2e2,0009074c.tif,05f%2Fimage-0009074c-4aebb71a-0c36-450f-a320-65d64ea23bda.tif
Image,UoEcar~1~1~29573~100540,adc8e587-2530-4589-b1a2-140af34deb7f,0009075c.tif,885%2Fimage-0009075c-7e0b663f-fb4a-4e03-8e6f-147d3b062b71.tif
Image,UoEcar~1~1~29586~100541,ae074347-1c1a-4560-b7ec-44571ffb3950,0009076c.tif,2f2%2Fimage-0009076c-0e9697e5-7063-44bd-806e-d8dfb1f82735.tif
Image,UoEcar~1~1~29599~100542,0cfe52fa-8757-43bc-a13e-10231c68009a,0009077c.tif,f7b%2Fimage-0009077c-0c35c873-a951-4c7a-99ea-f51e4e15cf4d.tif
Image,UoEcar~1~1~29470~100532,27b0b423-90ad-4a9b-8394-40627d164c3f,0009067c.tif,d51%2Fimage-0009067c-d9f78252-1b54-4cea-b3cf-d263c067f91c.tif
Image,UoEcar~1~1~29483~100533,7859f81c-bf35-467e-aadb-939a8ca271f8,0009068c.tif,99e%2Fimage-0009068c-7c286cb8-3079-423d-9c5a-4f70f2afe23e.tif
Image,UoEcar~1~1~27617~100383,68a6e21b-5b8a-4418-b4a6-f849be82dd7a,0002841c.tif,b08%2Fimage-0002841c-555ac0f1-0142-4d54-8d49-5cc999d3cfb1.tif
Image,UoEcar~1~1~27644~100385,8204b0fd-721f-41a9-a985-c30c43ffa1a5,0002843c.tif,536%2Fimage-0002843c-001b3688-9cad-401e-b14e-0030cb2b0146.tif
Image,UoEcar~1~1~27670~100387,58f09fb4-3e3c-4179-8c01-b595bf5d2a5a,0002845c.tif,373%2Fimage-0002845c-c76fb3be-45fe-4986-a651-d9c5059e4b49.tif
Image,UoEcar~1~1~27657~100386,a0fd0600-d927-4366-9679-aa0255c48adb,0002844c.tif,c2c%2Fimage-0002844c-c9d403bc-3d72-4f5c-b405-924d285477e3.tif
Image,UoEcar~1~1~27694~100389,1fc98c6f-79b5-4ab5-b034-a41659014606,0002847c.tif,8f1%2Fimage-0002847c-11b9347d-f0ee-4eff-92ff-ac79ef00a626.tif
Image,UoEcar~1~1~27708~100390,22c463be-9cf2-42f6-b532-5671933cf383,0002848c.tif,d4d%2Fimage-0002848c-7f229ed1-7dab-4713-9cba-2a5c4181755c.tif
Image,UoEcar~1~1~27631~100384,6a0d7ba7-0096-4457-beaf-2192e1d960f8,0002842c.tif,72e%2Fimage-0002842c-76c3929f-214b-4c1d-8959-19292787807b.tif
Image,UoEcar~1~1~27682~100388,d03b422a-15e6-4fd5-80e5-5891a3fe8dc0,0002846c.tif,8db%2Fimage-0002846c-6e07860d-a270-48f0-9572-d360c60658e4.tif
Image,UoEcar~1~1~27769~100395,e97761e4-427d-47b0-82ae-4a3bd44a1717,0002853c.tif,708%2Fimage-0002853c-02958672-98ae-4a71-a775-6fca2e4625a0.tif
Image,UoEcar~1~1~27782~100396,90f4ccbb-cbd7-4ace-aef4-3e0651396439,0002854c.tif,82f%2Fimage-0002854c-56afa88d-dfb7-4af5-8953-34d9c7838550.tif
Image,UoEcar~1~1~27821~100399,c08b2932-2238-49af-a993-a0173e56c8a9,0002857c.tif,e80%2Fimage-0002857c-db05dd4c-33ae-4102-81d9-79aee7e9ed3d.tif
Image,UoEcar~1~1~27356~100363,2735ad3a-32f8-4bf7-a44d-f0284fc3abfb,0002787c.tif,720%2Fimage-0002787c-98577ae6-5005-486f-9603-7f65369df917.tif
Image,UoEcar~1~1~27392~100366,97d4efd7-729f-461e-8ac9-3f8b4f2a69f4,0002790c.tif,1d8%2Fimage-0002790c-14897cf3-2972-4ed7-9229-9e5e5fc750c6.tif
Image,UoEcar~1~1~27550~100378,dbe70fe9-0b41-4a1d-895a-7cbf1d4bc352,0002823c.tif,b45%2Fimage-0002823c-7cebe917-5ea8-41d8-b50f-b4420f7dcede.tif
Image,UoEcar~1~1~27564~100379,ed4a04f0-d000-45f5-baf4-d1988dc83dad,0002824c.tif,265%2Fimage-0002824c-fe6c1faa-73a6-446c-8676-bc03fac06c36.tif
Image,UoEcar~1~1~27536~100377,76c6a741-2e61-44ae-9d8c-2aebf43a6dd2,0002822c.tif,1c0%2Fimage-0002822c-47d3ddc9-c0e6-4cbf-bc41-2691717cd80e.tif
Image,UoEcar~1~1~27405~100367,8fce7de0-a165-4eea-9738-e08a0bb16d2c,0002791c.tif,420%2Fimage-0002791c-55971bf1-2235-4fa5-a7d3-a79d7181c6ce.tif
Image,UoEcar~1~1~27343~100362,b32bf4bc-0231-44af-96a4-f02048030295,0002784c.tif,638%2Fimage-0002784c-c6f117f7-47b7-4607-b499-5779d89ab6fd.tif
Image,UoEcar~1~1~27418~100368,4648ebd0-0e1b-4c1e-8588-4e1c4875db6d,0002792c.tif,92e%2Fimage-0002792c-da807101-cbf2-478c-9ef3-8214d606e9db.tif
Image,UoEcar~1~1~27509~100375,05bcdaf5-fb52-446e-9249-1a9e25cc95f6,0002799c.tif,b75%2Fimage-0002799c-2673f84a-9161-4a46-a8e9-b04480cf2a20.tif
Image,UoEcar~1~1~27431~100369,e55a1fa9-23c1-4e0b-9530-0548f46ac0d0,0002793c.tif,6bd%2Fimage-0002793c-3acd3b70-9af9-44c3-8283-1ec0cbda4344.tif
Image,UoEcar~1~1~27444~100370,6dc6f8d1-bb94-4c23-9960-1ab3f09b53a7,0002794c.tif,7eb%2Fimage-0002794c-58a7599c-cb20-46c2-a632-7403cd10c5d2.tif
Image,UoEcar~1~1~27457~100371,9a2b5130-0277-4ccb-b7d3-5ebc08b1b361,0002795c.tif,df2%2Fimage-0002795c-bd493d76-8e7f-4fb9-9932-e46015af1c2f.tif
Image,UoEcar~1~1~27470~100372,6a9e0843-fa7d-4e20-a92b-a88e9441d322,0002796c.tif,f0d%2Fimage-0002796c-293141ca-541e-49d5-9f58-1e6be9223405.tif
Image,UoEcar~1~1~27496~100374,6529b5b0-0850-4cbf-b018-934faea00a30,0002798c.tif,3ff%2Fimage-0002798c-ca904c7b-6bc9-40ad-9921-4c051a2c9529.tif
Image,UoEcar~1~1~27483~100373,636a0ebd-caa2-4667-9e4d-a34670c4b1fe,0002797c.tif,279%2Fimage-0002797c-a0c75084-9230-4f11-8bf8-30a82d0b21b2.tif
Image,UoEcar~1~1~27522~100376,f224f0ba-353f-4137-94cf-313b94e56d58,0002821c.tif,fc1%2Fimage-0002821c-b9d21f16-57ef-48b3-95dd-0030edb4ff5c.tif
Image,UoEcar~1~1~27368~100364,5f2af0c8-5ea2-4946-8b4e-b5f9f297256a,0002788c.tif,a69%2Fimage-0002788c-3539e026-856f-4433-8007-149c0bc688e7.tif
Image,UoEcar~1~1~33585~100876,3760832a-8ee1-4afd-89d7-2e0626a7cf35,0022875c.tif,b01%2Fimage-0022875c-5738bc2d-793d-48e1-a8e3-6e5e2e905121.tif
Image,UoEcar~1~1~27721~100391,e433ad85-d0ff-41cc-8e25-b57d8d0cad5e,0002849c.tif,56d%2Fimage-0002849c-e4b10302-d1e8-43b6-8db1-7849d7797abb.tif
Image,UoEcar~1~1~27733~100392,299e0d08-29e0-4b32-b9d2-6734d4fe149a,0002850c.tif,46d%2Fimage-0002850c-3da53ce6-635f-415f-8a31-be8add5e9d62.tif
Image,UoEcar~1~1~27745~100393,65e910c6-ce76-4bce-91db-bd5c78e8c94e,0002851c.tif,b39%2Fimage-0002851c-4930811d-67b5-42cf-81d9-0f2e2929f068.tif
Image,UoEcar~1~1~27757~100394,71e63df7-988d-48fb-aad3-4ed677231ea0,0002852c.tif,0b7%2Fimage-0002852c-032e8d4b-f3cb-48b2-ab1b-34d943d57c0b.tif
Image,UoEcar~1~1~27795~100397,f1ad7268-b800-491e-b8d2-3b58c9d02dba,0002855c.tif,55c%2Fimage-0002855c-f4daa517-5038-4b5f-a85a-072f37c6841e.tif
Image,UoEcar~1~1~27808~100398,d6bddeaf-5b24-48b0-8ddc-4a3fbc08e6f7,0002856c.tif,6e4%2Fimage-0002856c-267086a0-84c5-4414-bc39-f63a356a8957.tif
Image,UoEcar~1~1~27380~100365,0eec5ab8-6126-4b02-8199-6af93de2af97,0002789c.tif,b66%2Fimage-0002789c-5caebd2d-eee3-410a-a94f-f5d1180c213d.tif
Image,UoEcar~1~1~27578~100380,68432643-eb33-4771-ac04-6bfa53768884,0002825c.tif,150%2Fimage-0002825c-9ecffb25-12b4-4fa5-a958-29a58ede40da.tif
Image,UoEcar~1~1~27591~100381,8c13fbc1-4fd7-4c66-8508-033af99cd252,0002826c.tif,5e1%2Fimage-0002826c-fdf8c0b0-d972-4d30-8214-0bc9048212a5.tif
Image,UoEcar~1~1~27604~100382,afb05303-7173-4522-99dc-0875bf8ed2f9,0002827c.tif,2f8%2Fimage-0002827c-8710d72a-1de3-4565-97c3-ae13a619704b.tif
Image,UoEcar~1~1~33341~100856,ad75e312-1e54-41f3-8039-a4012ca5c310,0022631c.tif,6f4%2Fimage-0022631c-03513e6d-1313-44ef-9176-42c2ad3896e0.tif
Image,UoEcar~1~1~33355~100857,0895e9c4-a0a1-4785-b232-05a550b72d79,0022632c.tif,2df%2Fimage-0022632c-8164420a-8478-461d-93e4-62a8f7d56561.tif
Image,UoEcar~1~1~33368~100858,9540b55d-562c-47db-af23-2226a0723a64,0022633c.tif,cc4%2Fimage-0022633c-0108641e-1b62-45c1-851f-34213a99f29a.tif
Image,UoEcar~1~1~32252~100763,4132211c-9add-4c79-948e-feecdaae616b,0022512c.tif,c84%2Fimage-0022512c-a8f969e0-12bc-48f7-80aa-8e20ddce524d.tif
Image,UoEcar~1~1~32263~100764,1d2b7e85-b912-4306-a517-ff1986cc61d1,0022513c.tif,f1b%2Fimage-0022513c-4a184f1e-00c4-4d30-b812-1cf566c2be5c.tif
Image,UoEcar~1~1~32274~100765,79e66f83-ff05-4154-882e-d5bb01700de8,0022514c.tif,0a1%2Fimage-0022514c-49aa4c30-a990-4144-b277-0f2f191773ff.tif
Image,UoEcar~1~1~24197~100100,8749b0a8-9d78-447f-884b-ea24e4dbbaaa,0018310c.tif,230%2Fimage-0018310c-a2425c55-e24d-4085-81fa-ee050546b199.tif
Image,UoEcar~1~1~33598~100877,50534323-4a4c-4488-babe-80a7e8923b6c,0022876c.tif,7d4%2Fimage-0022876c-46c908b0-baa8-4bc7-b200-0b83f95dbc9c.tif
